1;MKE225;105128471;2
1;AST230;105128471;2
1;VXS216;105128471;2
1;CZC231;105128471;2
1;OMW237;105128471;2
1;OQH267;105128471;2
2;BWQ158;116973976;5
2;ZTM112;116973976;5
2;BWQ158;116973976;5
2;TLG228;116973976;5
2;BMP112;116973976;5
2;KIW179;116973976;5
2;NHG218;116973976;5
3;PXM141;116999505;5
3;DMV176;116999505;5
3;MRL156;116999505;5
3;FJX241;116999505;5
4;ZKA167;105742683;1
4;TKP215;105742683;1
4;USV197;105742683;1
5;INY216;116995483;8
5;AHV216;116995483;8
5;TNM276;116995483;8
6;BOI128;116988292;5
6;DHV150;116988292;5
6;HOE134;116988292;5
6;TLG228;116988292;5
6;INY216;116988292;5
6;REU126;116988292;5
7;YXD196;116990068;1
7;DYJ210;116990068;1
7;PXM141;116990068;1
7;HGL173;116990068;1
7;HHZ299;116990068;1
7;UUU226;116990068;1
7;CPE181;116990068;1
8;UUF210;116988794;4
8;TKF254;116988794;4
8;NAR114;116988794;4
9;RAT262;109517337;2
9;EXB259;109517337;2
9;DMV176;109517337;2
9;BNY126;109517337;2
9;MZE214;109517337;2
9;XTD106;109517337;2
10;VXN290;116995848;7
10;HHZ299;116995848;7
10;CZC231;116995848;7
10;NXI178;116995848;7
10;MHD283;116995848;7
10;INY216;116995848;7
10;BNY126;116995848;7
11;UHJ198;116999249;1
11;RWX173;116999249;1
11;BNY126;116999249;1
11;SKY140;116999249;1
11;CPE181;116999249;1
12;EXB259;116972568;6
12;NAR114;116972568;6
12;OTJ243;116972568;6
12;UUF210;116972568;6
12;VOJ182;116972568;6
12;LPW110;116972568;6
12;FHO110;116972568;6
13;CRU239;116980541;4
13;WRU103;116980541;4
13;HHZ299;116980541;4
13;GDQ286;116980541;4
13;CSB221;116980541;4
13;EFK168;116980541;4
13;DHV150;116980541;4
14;IKY262;116979278;7
14;RJF247;116979278;7
14;BMP112;116979278;7
14;MHD283;116979278;7
14;VTO232;116979278;7
15;QDG227;116994332;2
15;OEY240;116994332;2
15;UNT157;116994332;2
15;UIT293;116994332;2
15;FJX241;116994332;2
15;GDQ286;116994332;2
15;HAN294;116994332;2
16;DBG127;116981114;5
16;MIZ244;116981114;5
